createdate createtime filename size status
2021-01-16 08:30:54 swn_2021-01-16.swn 1743bytes done
2021-01-18 13:01:45 swn_2021-01-17.swn 1743bytes done
2021-01-18 15:31:44 swn_2021-01-18.swn 1743bytes done
2021-01-19 08:03:08 swn_2021-01-19.swn 1743bytes done
2021-01-20 07:36:46 swn_2021-01-20.swn 1743bytes done
2021-01-21 08:18:57 swn_2021-01-21.swn 1743bytes done
2021-01-22 08:51:34 swn_2021-01-22.swn 1743bytes done
2021-01-23 07:23:47 swn_2021-01-23.swn 1743bytes done
2021-01-24 09:44:43 swn_2021-01-24.swn 1743bytes done
2021-01-25 08:15:54 swn_2021-01-25.swn 1743bytes done
2021-01-26 08:26:26 swn_2021-01-26.swn 1743bytes done
2021-01-27 06:58:11 swn_2021-01-27.swn 1743bytes done
2021-01-28 07:29:31 swn_2021-01-28.swn 1743bytes done
2021-01-29 08:01:07 swn_2021-01-29.swn 1743bytes done
2021-01-30 08:33:26 swn_2021-01-30.swn 1743bytes done
2021-01-31 07:04:57 swn_2021-01-31.swn 1743bytes done
2021-02-01 07:42:57 swn_2021-02-01.swn 1743bytes done
2021-02-02 08:52:16 swn_2021-02-02.swn 1743bytes done
2021-02-03 07:23:42 swn_2021-02-03.swn 1743bytes done
2021-02-04 07:55:55 swn_2021-02-04.swn 1743bytes done
2021-02-05 08:27:52 swn_2021-02-05.swn 1743bytes done
2021-02-06 07:09:14 swn_2021-02-06.swn 1743bytes done
2021-02-07 10:20:49 swn_2021-02-07.swn 1743bytes done
2021-02-08 08:52:12 swn_2021-02-08.swn 1743bytes done
2021-02-09 07:41:12 swn_2021-02-09.swn 1743bytes done
2021-02-10 08:11:56 swn_2021-02-10.swn 1743bytes done
2021-02-11 07:30:39 swn_2021-02-11.swn 1743bytes done
2021-02-12 08:19:22 swn_2021-02-12.swn 1743bytes done
2021-02-13 06:59:56 swn_2021-02-13.swn 1743bytes done
2021-02-14 07:31:28 swn_2021-02-14.swn 1743bytes done
2021-02-15 08:02:42 swn_2021-02-15.swn 1743bytes done
2021-02-16 19:02:01 swn_2021-02-16.swn 1743bytes done
2021-02-17 07:33:36 swn_2021-02-17.swn 1743bytes done
2021-02-18 08:05:49 swn_2021-02-18.swn 1743bytes done
2021-02-19 08:38:21 swn_2021-02-19.swn 1743bytes done
2021-02-20 07:11:24 swn_2021-02-20.swn 1743bytes done
2021-02-21 07:44:07 swn_2021-02-21.swn 1743bytes done
2021-02-22 08:17:02 swn_2021-02-22.swn 1743bytes done
2021-02-23 07:06:43 swn_2021-02-23.swn 1743bytes done
2021-02-24 07:38:22 swn_2021-02-24.swn 1743bytes done
2021-02-25 20:51:01 swn_2021-02-25.swn 1743bytes done
2021-02-26 07:22:20 swn_2021-02-26.swn 1743bytes done
2021-02-27 07:54:11 swn_2021-02-27.swn 1743bytes done
2021-03-02 10:35:39 swn_2021-02-28.swn 1743bytes done
2021-03-02 13:10:00 swn_2021-03-01.swn 1743bytes done
2021-03-02 15:41:20 swn_2021-03-02.swn 1743bytes done
2021-03-03 08:31:56 swn_2021-03-03.swn 1743bytes done
2021-03-04 07:04:47 swn_2021-03-04.swn 1743bytes done
2021-03-05 07:38:20 swn_2021-03-05.swn 1743bytes done
2021-03-06 08:11:40 swn_2021-03-06.swn 1743bytes done
2021-03-07 13:54:24 swn_2021-03-07.swn 1743bytes done
2021-03-08 08:26:47 swn_2021-03-08.swn 1743bytes done
2021-03-09 21:31:16 swn_2021-03-09.swn 1743bytes done
2021-03-10 08:03:23 swn_2021-03-10.swn 1743bytes done
2021-03-11 08:38:07 swn_2021-03-11.swn 1743bytes done
2021-03-12 10:45:06 swn_2021-03-12.swn 1743bytes done
2021-03-13 07:21:08 swn_2021-03-13.swn 1743bytes done
2021-03-14 07:53:55 swn_2021-03-14.swn 1743bytes done
2021-03-21 07:29:03 swn_2021-03-15.swn 1743bytes done
2021-03-21 10:02:20 swn_2021-03-16.swn 1743bytes done
2021-03-21 12:36:28 swn_2021-03-17.swn 1743bytes done
2021-03-21 15:07:04 swn_2021-03-18.swn 1743bytes done
2021-03-21 17:37:40 swn_2021-03-19.swn 1743bytes done
