createdate createtime filename size status
2021-01-13 13:43:48 outNC_2021-01-13.nc 182.05MB done
2021-01-14 11:35:10 outNC_2021-01-14.nc 182.05MB done
2021-01-15 08:00:29 outNC_2021-01-15.nc 182.05MB done
2021-01-16 08:31:13 outNC_2021-01-16.nc 182.05MB done
2021-01-18 13:02:05 outNC_2021-01-17.nc 182.05MB done
2021-01-18 15:32:03 outNC_2021-01-18.nc 182.05MB done
2021-01-19 08:03:27 outNC_2021-01-19.nc 182.05MB done
2021-01-20 07:37:05 outNC_2021-01-20.nc 182.05MB done
2021-01-21 08:19:16 outNC_2021-01-21.nc 182.05MB done
2021-01-22 08:51:53 outNC_2021-01-22.nc 182.05MB done
2021-01-23 07:24:07 outNC_2021-01-23.nc 182.05MB done
2021-01-24 09:45:03 outNC_2021-01-24.nc 182.05MB done
2021-01-25 08:16:14 outNC_2021-01-25.nc 182.05MB done
2021-01-26 08:26:45 outNC_2021-01-26.nc 182.05MB done
2021-01-27 06:58:31 outNC_2021-01-27.nc 182.05MB done
2021-01-28 07:29:51 outNC_2021-01-28.nc 182.05MB done
2021-01-29 08:01:28 outNC_2021-01-29.nc 182.05MB done
2021-01-30 08:33:46 outNC_2021-01-30.nc 182.05MB done
2021-01-31 07:05:17 outNC_2021-01-31.nc 182.05MB done
2021-02-01 07:43:18 outNC_2021-02-01.nc 182.05MB done
2021-02-02 08:52:36 outNC_2021-02-02.nc 182.05MB done
2021-02-03 07:24:04 outNC_2021-02-03.nc 182.05MB done
2021-02-04 07:56:14 outNC_2021-02-04.nc 182.05MB done
2021-02-05 08:28:11 outNC_2021-02-05.nc 182.05MB done
2021-02-06 07:09:32 outNC_2021-02-06.nc 182.05MB done
2021-02-07 10:21:08 outNC_2021-02-07.nc 182.05MB done
2021-02-08 08:52:30 outNC_2021-02-08.nc 182.05MB done
2021-02-09 07:41:31 outNC_2021-02-09.nc 182.05MB done
2021-02-10 08:12:17 outNC_2021-02-10.nc 182.05MB done
2021-02-11 07:31:22 outNC_2021-02-11.nc 182.05MB done
2021-02-12 08:19:41 outNC_2021-02-12.nc 182.05MB done
2021-02-13 07:00:16 outNC_2021-02-13.nc 182.05MB done
2021-02-14 07:31:47 outNC_2021-02-14.nc 182.05MB done
2021-02-15 08:03:01 outNC_2021-02-15.nc 182.05MB done
2021-02-16 19:02:21 outNC_2021-02-16.nc 182.05MB done
2021-02-17 07:33:56 outNC_2021-02-17.nc 182.05MB done
2021-02-18 08:06:08 outNC_2021-02-18.nc 182.05MB done
2021-02-19 08:38:39 outNC_2021-02-19.nc 182.05MB done
2021-02-20 07:11:42 outNC_2021-02-20.nc 182.05MB done
2021-02-21 07:44:26 outNC_2021-02-21.nc 182.05MB done
2021-02-22 08:17:21 outNC_2021-02-22.nc 182.05MB done
2021-02-23 07:07:03 outNC_2021-02-23.nc 182.05MB done
2021-02-24 07:38:43 outNC_2021-02-24.nc 182.05MB done
2021-02-25 20:51:21 outNC_2021-02-25.nc 182.05MB done
2021-02-26 07:22:40 outNC_2021-02-26.nc 182.05MB done
2021-02-27 07:54:31 outNC_2021-02-27.nc 182.05MB done
2021-03-02 10:35:59 outNC_2021-02-28.nc 182.05MB done
2021-03-02 13:10:20 outNC_2021-03-01.nc 182.05MB done
2021-03-02 15:41:40 outNC_2021-03-02.nc 182.05MB done
2021-03-03 08:32:15 outNC_2021-03-03.nc 182.05MB done
2021-03-04 07:05:07 outNC_2021-03-04.nc 182.05MB done
2021-03-05 07:38:40 outNC_2021-03-05.nc 182.05MB done
2021-03-06 08:11:59 outNC_2021-03-06.nc 182.05MB done
2021-03-07 13:54:43 outNC_2021-03-07.nc 182.05MB done
2021-03-08 08:27:06 outNC_2021-03-08.nc 182.05MB done
2021-03-09 21:31:36 outNC_2021-03-09.nc 182.05MB done
2021-03-10 08:03:44 outNC_2021-03-10.nc 182.05MB done
2021-03-11 08:38:27 outNC_2021-03-11.nc 182.05MB done
2021-03-12 10:45:26 outNC_2021-03-12.nc 182.05MB done
2021-03-13 07:21:27 outNC_2021-03-13.nc 182.05MB done
2021-03-14 07:54:14 outNC_2021-03-14.nc 182.05MB done
2021-03-21 07:29:23 outNC_2021-03-15.nc 182.05MB done
2021-03-21 10:02:39 outNC_2021-03-16.nc 182.05MB done
2021-03-21 12:36:47 outNC_2021-03-17.nc 182.05MB done
2021-03-21 15:07:23 outNC_2021-03-18.nc 182.05MB done
2021-03-21 17:37:59 outNC_2021-03-19.nc 182.05MB done
2021-03-21 20:09:04 outNC_2021-03-20.nc 182.05MB done
2021-03-21 22:39:43 outNC_2021-03-21.nc 182.05MB done
2021-03-22 07:10:23 outNC_2021-03-22.nc 182.05MB done
2021-03-23 07:42:05 outNC_2021-03-23.nc 182.05MB done
2021-03-24 08:34:02 outNC_2021-03-24.nc 182.05MB done
2021-03-25 07:09:06 outNC_2021-03-25.nc 182.05MB done
2021-03-26 07:42:30 outNC_2021-03-26.nc 182.05MB done
2021-04-01 21:11:48 outNC_2021-03-27.nc 182.05MB done
2021-04-01 23:45:47 outNC_2021-03-28.nc 182.05MB done
2021-04-02 02:19:30 outNC_2021-03-29.nc 182.05MB done
2021-04-02 04:52:43 outNC_2021-03-30.nc 182.05MB done
2021-04-02 07:26:23 outNC_2021-03-31.nc 182.05MB done
2021-04-02 09:59:01 outNC_2021-04-01.nc 182.05MB done
2021-04-02 12:31:50 outNC_2021-04-02.nc 182.05MB done
2021-04-03 07:05:32 outNC_2021-04-03.nc 182.05MB done
2021-04-04 07:38:59 outNC_2021-04-04.nc 182.05MB done
2021-04-05 08:13:13 outNC_2021-04-05.nc 182.05MB done
2021-04-06 08:49:14 outNC_2021-04-06.nc 182.05MB done
2021-05-18 13:30:52 outNC_2021-04-07.nc 182.05MB done
2021-05-18 16:02:23 outNC_2021-04-08.nc 182.05MB done
2021-05-18 18:35:47 outNC_2021-04-09.nc 182.05MB done
2021-05-18 20:32:50 outNC_2021-04-10.nc 182.05MB done
2021-05-18 21:07:02 outNC_2021-04-11.nc 182.05MB done
2021-05-18 21:39:23 outNC_2021-04-12.nc 182.05MB done
2021-05-18 22:10:40 outNC_2021-04-13.nc 182.05MB done
2021-05-18 22:41:36 outNC_2021-04-14.nc 182.05MB done
2021-05-18 23:13:42 outNC_2021-04-15.nc 182.05MB done
2021-05-18 23:45:13 outNC_2021-04-16.nc 182.05MB done
2021-05-19 00:36:22 outNC_2021-04-17.nc 182.05MB done
2021-05-19 01:07:55 outNC_2021-04-18.nc 182.05MB done
2021-05-19 01:38:53 outNC_2021-04-19.nc 182.05MB done
2021-05-19 02:10:19 outNC_2021-04-20.nc 182.05MB done
2021-05-19 02:41:51 outNC_2021-04-21.nc 182.05MB done
2021-05-19 03:14:07 outNC_2021-04-22.nc 182.05MB done
2021-05-19 03:46:14 outNC_2021-04-23.nc 182.05MB done
2021-05-19 04:18:19 outNC_2021-04-24.nc 182.05MB done
2021-05-19 04:50:22 outNC_2021-04-25.nc 182.05MB done
2021-05-19 05:22:17 outNC_2021-04-26.nc 182.05MB done
2021-05-19 05:54:17 outNC_2021-04-27.nc 182.05MB done
2021-05-19 06:26:17 outNC_2021-04-28.nc 182.05MB done
2021-05-19 06:58:38 outNC_2021-04-29.nc 182.05MB done
2021-05-19 07:31:56 outNC_2021-04-30.nc 182.05MB done
2021-05-19 08:05:27 outNC_2021-05-01.nc 182.05MB done
2021-05-19 08:40:13 outNC_2021-05-02.nc 182.05MB done
2021-05-19 09:12:59 outNC_2021-05-03.nc 182.05MB done
2021-05-19 09:46:44 outNC_2021-05-04.nc 182.05MB done
2021-05-19 10:20:17 outNC_2021-05-05.nc 182.05MB done
2021-05-19 10:54:30 outNC_2021-05-06.nc 182.05MB done
2021-05-19 11:28:48 outNC_2021-05-07.nc 182.05MB done
2021-05-19 12:04:26 outNC_2021-05-08.nc 182.05MB done
2021-05-19 12:39:26 outNC_2021-05-09.nc 182.05MB done
2021-05-19 14:22:42 outNC_2021-05-10.nc 182.05MB done
2021-05-19 15:08:48 outNC_2021-05-11.nc 182.05MB done
2021-05-19 15:46:31 outNC_2021-05-12.nc 182.05MB done
2021-05-19 16:26:26 outNC_2021-05-13.nc 182.05MB done
2021-05-19 17:00:43 outNC_2021-05-14.nc 182.05MB done
2021-05-19 17:34:59 outNC_2021-05-15.nc 182.05MB done
2021-05-19 18:11:10 outNC_2021-05-16.nc 182.05MB done
2021-05-19 18:46:20 outNC_2021-05-17.nc 182.05MB done
2021-05-19 19:21:22 outNC_2021-05-18.nc 182.05MB done
2021-05-19 19:57:15 outNC_2021-05-19.nc 182.05MB done
2021-05-21 05:13:12 outNC_2021-05-20.nc 182.05MB done
2021-05-21 07:43:48 outNC_2021-05-21.nc 182.05MB done
