createdate createtime filename size status
2021-01-12 10:49:52 marsNC_2021-01-11.nc 28.68MB done
2021-01-12 13:22:01 marsNC_2021-01-12.nc 28.68MB done
2021-01-13 13:43:15 marsNC_2021-01-13.nc 28.68MB done
2021-01-14 11:34:37 marsNC_2021-01-14.nc 28.68MB done
2021-01-15 07:59:56 marsNC_2021-01-15.nc 28.68MB done
2021-01-16 08:30:23 marsNC_2021-01-16.nc 28.68MB done
2021-01-18 13:01:30 marsNC_2021-01-17.nc 28.68MB done
2021-01-18 15:31:23 marsNC_2021-01-18.nc 28.68MB done
2021-01-19 08:02:55 marsNC_2021-01-19.nc 28.68MB done
2021-01-20 07:36:33 marsNC_2021-01-20.nc 28.68MB done
2021-01-21 08:18:43 marsNC_2021-01-21.nc 28.68MB done
2021-01-22 08:51:12 marsNC_2021-01-22.nc 28.68MB done
2021-01-23 07:23:34 marsNC_2021-01-23.nc 28.68MB done
2021-01-24 09:44:28 marsNC_2021-01-24.nc 28.68MB done
2021-01-25 08:15:25 marsNC_2021-01-25.nc 28.68MB done
2021-01-26 08:26:15 marsNC_2021-01-26.nc 28.68MB done
2021-01-27 06:57:53 marsNC_2021-01-27.nc 28.68MB done
2021-01-28 07:29:17 marsNC_2021-01-28.nc 28.68MB done
2021-01-29 08:00:54 marsNC_2021-01-29.nc 28.68MB done
2021-01-30 08:33:14 marsNC_2021-01-30.nc 28.68MB done
2021-01-31 07:04:44 marsNC_2021-01-31.nc 28.68MB done
2021-02-01 07:42:44 marsNC_2021-02-01.nc 28.68MB done
2021-02-02 08:52:03 marsNC_2021-02-02.nc 28.68MB done
2021-02-03 07:23:29 marsNC_2021-02-03.nc 28.68MB done
2021-02-04 07:55:43 marsNC_2021-02-04.nc 28.68MB done
2021-02-05 08:27:40 marsNC_2021-02-05.nc 28.68MB done
2021-02-06 07:09:01 marsNC_2021-02-06.nc 28.68MB done
2021-02-07 10:20:39 marsNC_2021-02-07.nc 28.68MB done
2021-02-08 08:51:59 marsNC_2021-02-08.nc 28.68MB done
2021-02-09 07:40:51 marsNC_2021-02-09.nc 28.68MB done
2021-02-10 08:11:43 marsNC_2021-02-10.nc 28.68MB done
2021-02-11 07:30:22 marsNC_2021-02-11.nc 28.68MB done
2021-02-12 08:19:01 marsNC_2021-02-12.nc 28.68MB done
2021-02-13 06:59:42 marsNC_2021-02-13.nc 28.68MB done
2021-02-14 07:31:15 marsNC_2021-02-14.nc 28.68MB done
2021-02-15 08:02:29 marsNC_2021-02-15.nc 28.68MB done
2021-02-16 19:01:49 marsNC_2021-02-16.nc 28.68MB done
2021-02-17 07:33:03 marsNC_2021-02-17.nc 28.68MB done
2021-02-18 08:05:34 marsNC_2021-02-18.nc 28.68MB done
2021-02-19 08:38:08 marsNC_2021-02-19.nc 28.68MB done
2021-02-20 07:11:12 marsNC_2021-02-20.nc 28.68MB done
2021-02-21 07:43:35 marsNC_2021-02-21.nc 28.68MB done
2021-02-22 08:16:49 marsNC_2021-02-22.nc 28.68MB done
2021-02-23 07:06:31 marsNC_2021-02-23.nc 28.68MB done
2021-02-24 07:38:08 marsNC_2021-02-24.nc 28.68MB done
2021-02-25 20:50:47 marsNC_2021-02-25.nc 28.68MB done
2021-02-26 07:22:07 marsNC_2021-02-26.nc 28.68MB done
2021-02-27 07:53:57 marsNC_2021-02-27.nc 28.68MB done
2021-03-02 10:35:26 marsNC_2021-02-28.nc 28.68MB done
2021-03-02 13:09:47 marsNC_2021-03-01.nc 28.68MB done
2021-03-02 15:41:04 marsNC_2021-03-02.nc 28.68MB done
2021-03-03 08:31:43 marsNC_2021-03-03.nc 28.68MB done
2021-03-04 07:04:28 marsNC_2021-03-04.nc 28.68MB done
2021-03-05 07:38:06 marsNC_2021-03-05.nc 28.68MB done
2021-03-06 08:11:27 marsNC_2021-03-06.nc 28.68MB done
2021-03-07 13:53:53 marsNC_2021-03-07.nc 28.68MB done
2021-03-08 08:26:30 marsNC_2021-03-08.nc 28.68MB done
2021-03-09 21:31:04 marsNC_2021-03-09.nc 28.68MB done
2021-03-10 08:03:05 marsNC_2021-03-10.nc 28.68MB done
2021-03-11 08:37:53 marsNC_2021-03-11.nc 28.68MB done
2021-03-12 10:44:54 marsNC_2021-03-12.nc 28.68MB done
2021-03-13 07:20:54 marsNC_2021-03-13.nc 28.68MB done
2021-03-14 07:53:41 marsNC_2021-03-14.nc 28.68MB done
2021-03-21 07:28:51 marsNC_2021-03-15.nc 28.68MB done
2021-03-21 10:02:06 marsNC_2021-03-16.nc 28.68MB done
2021-03-21 12:36:16 marsNC_2021-03-17.nc 28.68MB done
2021-03-21 15:06:51 marsNC_2021-03-18.nc 28.68MB done
2021-03-21 17:37:13 marsNC_2021-03-19.nc 28.68MB done
2021-03-21 20:08:34 marsNC_2021-03-20.nc 28.68MB done
2021-03-21 22:39:11 marsNC_2021-03-21.nc 28.68MB done
2021-03-22 07:09:52 marsNC_2021-03-22.nc 28.68MB done
2021-03-23 07:41:32 marsNC_2021-03-23.nc 28.68MB done
2021-03-24 08:33:27 marsNC_2021-03-24.nc 28.68MB done
2021-03-25 07:08:34 marsNC_2021-03-25.nc 28.68MB done
2021-03-26 07:41:55 marsNC_2021-03-26.nc 28.68MB done
2021-04-01 21:11:09 marsNC_2021-03-27.nc 28.68MB done
2021-04-01 23:45:15 marsNC_2021-03-28.nc 28.68MB done
2021-04-02 02:18:58 marsNC_2021-03-29.nc 28.68MB done
2021-04-02 04:52:10 marsNC_2021-03-30.nc 28.68MB done
2021-04-02 07:25:50 marsNC_2021-03-31.nc 28.68MB done
2021-04-02 09:58:30 marsNC_2021-04-01.nc 28.68MB done
2021-04-02 12:31:20 marsNC_2021-04-02.nc 28.68MB done
2021-04-03 07:04:57 marsNC_2021-04-03.nc 28.68MB done
2021-04-04 07:38:20 marsNC_2021-04-04.nc 28.68MB done
2021-04-05 08:12:39 marsNC_2021-04-05.nc 28.68MB done
2021-04-06 08:48:40 marsNC_2021-04-06.nc 28.68MB done
2021-05-18 13:30:18 marsNC_2021-04-07.nc 28.68MB done
2021-05-18 16:01:49 marsNC_2021-04-08.nc 28.68MB done
2021-05-18 18:35:15 marsNC_2021-04-09.nc 28.68MB done
2021-05-18 20:32:18 marsNC_2021-04-10.nc 28.68MB done
2021-05-18 21:06:28 marsNC_2021-04-11.nc 28.68MB done
2021-05-18 21:38:51 marsNC_2021-04-12.nc 28.68MB done
2021-05-18 22:10:10 marsNC_2021-04-13.nc 28.68MB done
2021-05-18 22:41:04 marsNC_2021-04-14.nc 28.68MB done
2021-05-18 23:13:08 marsNC_2021-04-15.nc 28.68MB done
2021-05-18 23:44:33 marsNC_2021-04-16.nc 28.68MB done
2021-05-19 00:35:50 marsNC_2021-04-17.nc 28.68MB done
2021-05-19 01:07:23 marsNC_2021-04-18.nc 28.68MB done
2021-05-19 01:38:21 marsNC_2021-04-19.nc 28.68MB done
2021-05-19 02:09:48 marsNC_2021-04-20.nc 28.68MB done
2021-05-19 02:41:19 marsNC_2021-04-21.nc 28.68MB done
2021-05-19 03:13:33 marsNC_2021-04-22.nc 28.68MB done
2021-05-19 03:45:42 marsNC_2021-04-23.nc 28.68MB done
2021-05-19 04:17:46 marsNC_2021-04-24.nc 28.68MB done
2021-05-19 04:49:49 marsNC_2021-04-25.nc 28.68MB done
2021-05-19 05:21:46 marsNC_2021-04-26.nc 28.68MB done
